Emoji,Código,Categoría,Descripción,Emoción,Valor
🍕,1F355,Comida preparada,Pizza,Alegria,5
©️,00A9 FE0F,Otro simbolo ,Copyright,Panico,3
🍷,1F377,Bebidas,Copa de vino,Mania,2
💚,1F49A,Emociones,Corazón verde,Amor,5
✊,270A,Cuerpo,Puño alzado,Ira,4
🚶,1F6B6,Actividades,Persona caminando,Interes,2
💗,1F497,Cuerpo,Corazon creciendo,Amor,5
👅,1F444,Cuerpo,Lengua,Ansiedad,3
💘,1F498,Cuerpo,Corazon con flecha,Amor,5
🍦,1F366,Comida dulce,Copa de helado suave,Alegria,2
👋,1F44B,Cuerpo,Mano saludando,Alegria,4
👏,1F44F,Cuerpo,Aplaudiendo,Alegria,3
🌴,1F334,Plantas,Palmera,Alegria,2
🔫,1F52B,Herramienta,Pistola,Ira,3
✨,2728,Eventos,Chispas,Alegria,3
✔,2714,Otro simbolo,Marca bien ,Alegria,4
😑,1F611,Cara neutral,Cara sin expresión,Ansiedad,3
💐,1F490,Plantas,Ramo de flores,Alegria,2
🌊,1F30A,Cielo y clima,Ola,Alegria,2
👿,1F47F,Cara fantasía,Cara enojada con cuernos,Ira,4
🍴,1F374,Vajilla,Cubiertos,Alegria,1
💃,1F483,Actividades,Mujer bailando,Alegria,4
😐,1F610,Cara neutral,Cara neutral,Ansiedad,3
💟,1F49F,Emociones,Corazón en cuadro,Amor,3
💞,1F49E,Cuerpo,Corazones giratorios,Amor,3
😴,1F634,Cara neutral,Cara durmiendo,Interes,4
🇺🇸,1F1FA 1F1F8,Bandera,Estados Unidos,Alegria,1
🍓,1F353,Frutas,Fresa,Alegria,1
